trip_id,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup,dropoff,cab_type,precipitation,snow_depth,snowfall,max_temperature,min_temperature,average_wind_speed,pickup_nyct2010_gid,pickup_ctlabel,pickup_borocode,pickup_boroname,pickup_ct2010,pickup_boroct2010,pickup_cdeligibil,pickup_ntacode,pickup_ntaname,pickup_puma,dropoff_nyct2010_gid,dropoff_ctlabel,dropoff_borocode,dropoff_boroname,dropoff_ct2010,dropoff_boroct2010,dropoff_cdeligibil,dropoff_ntacode,dropoff_ntaname,dropoff_puma,10mbin
"973,947,670",VTS,00:00.0,03:00.0,,1,-74.000728,40.731925,-73.991727,40.744497,1,1.02,5,0.5,0.5,1.1,0,,,7.1,CRD,,,,yellow,,,,37,20,,1317,65,1,Manhattan,6500,1006500,I,MN23,West Village,3810,1156,91,1,Manhattan,9100,1009100,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,00:00.0
"970,316,235",VTS,00:00.0,16:00.0,,1,-73.998727,40.69382,-73.993922,40.7269,5,3.9,15,0.5,0.5,3.1,0,,,20.09,UNK,,,,yellow,,,,37,20,,2164,3.01,3,Brooklyn,301,3000301,I,BK09,Brooklyn Heights-Cobble Hill,4004,1471,55.02,1,Manhattan,5502,1005502,I,MN23,West Village,3810,00:00.0
"973,943,102",CMT,00:15.0,07:37.0,N,1,-73.977998,40.757197,-73.964117,40.764594,1,1.2,7,0.5,0.5,1,0,,,9,CRD,,,,yellow,,,,37,20,,1249,94,1,Manhattan,9400,1009400,E,MN17,Midtown-Midtown South,3807,1757,110,1,Manhattan,11000,1011000,I,MN31,Lenox Hill-Roosevelt Island,3805,00:00.0
"970,285,754",CMT,00:21.0,06:34.0,N,1,-74.002307,40.739708,-74.006237,40.733189,1,0.8,6,0.5,0.5,1.75,0,,,8.75,CRD,,,,yellow,,,,37,20,,1165,81,1,Manhattan,8100,1008100,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,1443,73,1,Manhattan,7300,1007300,I,MN23,West Village,3810,00:00.0
"973,947,140",CMT,00:49.0,09:47.0,N,1,-73.964918,40.759929,-73.987083,40.739449,2,2.1,9.5,0.5,0.5,0,0,,,10.5,CSH,,,,yellow,,,,37,20,,923,108,1,Manhattan,10800,1010800,I,MN19,Turtle Bay-East Midtown,3808,934,56,1,Manhattan,5600,1005600,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,00:00.0
"973,972,364",CMT,00:49.0,18:13.0,N,1,-73.990663,40.750681,-73.987365,40.725379,2,2.5,13,0.5,0.5,0,0,,,14,CSH,,,,yellow,,,,37,20,,899,101,1,Manhattan,10100,1010100,I,MN17,Midtown-Midtown South,3807,1470,38,1,Manhattan,3800,1003800,I,MN22,East Village,3809,00:00.0
"973,723,252",VTS,02:00.0,05:00.0,,1,-73.994562,40.745455,-74.003387,40.742682,1,0.76,4.5,0.5,0.5,1,0,,,6.5,CRD,,,,yellow,,,,37,20,,1156,91,1,Manhattan,9100,1009100,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,1355,83,1,Manhattan,8300,1008300,E,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,00:00.0
"973,944,280",VTS,02:00.0,06:00.0,,1,-73.954185,40.76584,-73.950875,40.774555,6,0.91,5.5,0.5,0.5,1.2,0,,,7.7,CRD,,,,yellow,,,,37,20,,1952,124,1,Manhattan,12400,1012400,I,MN31,Lenox Hill-Roosevelt Island,3805,2047,136,1,Manhattan,13600,1013600,I,MN32,Yorkville,3805,00:00.0
"970,309,446",VTS,02:00.0,15:00.0,,1,-73.988987,40.748137,-73.942852,40.799605,1,4.69,14.5,0.5,0.5,0,0,,,15.5,CSH,,,,yellow,,,,37,20,,2000,76,1,Manhattan,7600,1007600,I,MN17,Midtown-Midtown South,3807,1766,182,1,Manhattan,18200,1018200,E,MN34,East Harlem North,3804,00:00.0
"970,311,404",CMT,02:55.0,10:52.0,N,1,-73.996631,40.729854,-73.985407,40.738545,1,1.4,7.5,0.5,0.5,0,0,,,8.5,CSH,,,,yellow,,,,37,20,,1317,65,1,Manhattan,6500,1006500,I,MN23,West Village,3810,11,68,1,Manhattan,6800,1006800,I,MN21,Gramercy,3808,00:00.0
